# patience = 5
# n_steps_inc = 5
# n_steps_0 = 10
# target_scheme = default
# fac_pert_T = 2.0
# n_ic = 5
# n_traj = 10
# eta0 = 0.01
# julia = 1.10.11
# fac_pert_q = 0.2
# eta_decay = 0.7
# t_spinup = 31 days
# n_epochs = 10
# min_delta = 0.0001
# seed = 1234
# n_gap = 25
# scheme = ConstLinearLW
# created = 2026-07-07T23:26:03.971
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,0.18254393,0.01,4.0002,0.08755372,0.4272516,-0.26451436
1,1,2,10,0.1798259,0.01,4.0007997,0.08673612,0.42405885,-0.26239273
1,1,3,10,0.1771909,0.01,4.001797,0.08593641,0.4209405,-0.26033542
1,1,4,10,0.17457588,0.01,4.00319,0.08515431,0.41782278,-0.2583092
1,1,5,10,0.172004,0.01,4.0049763,0.08437098,0.41473365,-0.25625622
1,1,6,10,0.16946785,0.01,4.0071497,0.08358368,0.41166472,-0.25418556
1,1,7,10,0.16706823,0.01,4.0097055,0.082811885,0.4087398,-0.2521408
1,1,8,10,0.16465062,0.01,4.012638,0.08205901,0.40577164,-0.250133
1,1,9,10,0.16225597,0.01,4.015939,0.08128269,0.4028101,-0.24811506
1,1,10,10,0.15986504,0.01,4.019601,0.080511376,0.39983127,-0.24607849
1,2,1,10,0.153724,0.01,4.0236115,0.07899262,0.39207652,-0.24380277
1,2,2,10,0.15153044,0.01,4.0279603,0.07824905,0.3892691,-0.24179226
1,2,3,10,0.14929238,0.01,4.032636,0.077511534,0.3863837,-0.2397757
1,2,4,10,0.14706571,0.01,4.0376253,0.076883845,0.3834915,-0.23778227
1,2,5,10,0.14481615,0.01,4.042915,0.07614814,0.38054717,-0.23571569
1,2,6,10,0.14260499,0.01,4.0484905,0.0753949,0.37763077,-0.23376308
1,2,7,10,0.1405062,0.01,4.054336,0.07467304,0.37484157,-0.2317939
1,2,8,10,0.13845909,0.01,4.060436,0.073961735,0.37210092,-0.22982872
1,2,9,10,0.13654836,0.01,4.066774,0.073273934,0.3695245,-0.22794521
1,2,10,10,0.13446185,0.01,4.073334,0.072564416,0.3666904,-0.22590744
1,3,1,10,0.13033895,0.01,4.080092,0.070887215,0.36102486,-0.22178105
1,3,2,10,0.12843744,0.01,4.08703,0.070297,0.3583817,-0.21987085
1,3,3,10,0.12650284,0.01,4.0941305,0.069605336,0.3556724,-0.21799055
1,3,4,10,0.124682166,0.01,4.101379,0.06893873,0.3531036,-0.21612735
1,3,5,10,0.12289738,0.01,4.1087594,0.068283856,0.35056722,-0.21429126
1,3,6,10,0.1211443,0.01,4.1162577,0.06762615,0.3480579,-0.21248081
1,3,7,10,0.119428426,0.01,4.1238604,0.06697752,0.34558418,-0.21066286
1,3,8,10,0.1176969,0.01,4.131556,0.066329695,0.34306982,-0.20880884
1,3,9,10,0.116020136,0.01,4.1393332,0.06569894,0.3406173,-0.2070307
1,3,10,10,0.114344165,0.01,4.1471825,0.0650677,0.33814815,-0.20520946
1,4,1,10,0.112028256,0.01,4.1550846,0.064080894,0.33470622,-0.2020757
1,4,2,10,0.11043933,0.01,4.1630316,0.06346499,0.33232415,-0.2003465
1,4,3,10,0.10890046,0.01,4.171021,0.06278384,0.3300007,-0.19862749
1,4,4,10,0.10739446,0.01,4.179047,0.06224642,0.32771093,-0.19693035
1,4,5,10,0.105936304,0.01,4.1871104,0.061521575,0.32547858,-0.19527666
1,4,6,10,0.10447774,0.01,4.1952057,0.06104546,0.32323018,-0.19359998
1,4,7,10,0.103028424,0.01,4.203332,0.060450867,0.3209804,-0.19193397
1,4,8,10,0.10162032,0.01,4.2114882,0.059872176,0.3187794,-0.19026294
1,4,9,10,0.10022205,0.01,4.2196736,0.059279148,0.31657866,-0.18859015
1,4,10,10,0.09887724,0.01,4.2278876,0.05871935,0.31444752,-0.18696283
1,5,1,10,0.0962685,0.01,4.236117,0.057754695,0.31027165,-0.18370731
1,5,2,10,0.09495499,0.01,4.2443614,0.057184897,0.30814767,-0.18204656
1,5,3,10,0.09365661,0.01,4.252622,0.056623988,0.30603367,-0.18038765
1,5,4,10,0.09238741,0.01,4.2608986,0.05607326,0.30395296,-0.17870681
1,5,5,10,0.09111481,0.01,4.269194,0.055519484,0.30185232,-0.17707172
1,5,6,10,0.08987417,0.01,4.2775097,0.054959662,0.2997902,-0.1753694
1,5,7,10,0.08867411,0.01,4.285847,0.054423135,0.297782,-0.17366779
1,5,8,10,0.08750602,0.01,4.294206,0.053890247,0.29581416,-0.17201763
1,5,9,10,0.08640923,0.01,4.302589,0.05338491,0.29395446,-0.17036647
1,5,10,10,0.08529003,0.01,4.3109956,0.05286644,0.29204458,-0.16872951
1,6,1,10,0.0858988,0.01,4.3194094,0.05239351,0.29308498,-0.16684185
1,6,2,10,0.084791325,0.01,4.3278317,0.051871616,0.2911895,-0.16515
1,6,3,10,0.083758235,0.01,4.3362637,0.051375803,0.28941014,-0.1635093
1,6,4,10,0.08271171,0.01,4.3447056,0.05086946,0.28759643,-0.16180547
1,6,5,10,0.08167741,0.01,4.353158,0.05036444,0.2857926,-0.16009945
1,6,6,10,0.080660656,0.01,4.3616214,0.049865134,0.2840082,-0.15838715
1,6,7,10,0.07965929,0.01,4.3700957,0.049375273,0.28223976,-0.15668288
1,6,8,10,0.07868572,0.01,4.3785815,0.04888581,0.28050977,-0.1549665
1,6,9,10,0.0777184,0.01,4.387077,0.04839507,0.2787802,-0.15327685
1,6,10,10,0.0767752,0.01,4.395585,0.047802877,0.2770834,-0.15157859
1,7,1,10,0.07599614,0.01,4.404067,0.046865672,0.275674,-0.14788911
1,7,2,10,0.07511296,0.01,4.412526,0.046395317,0.27406743,-0.14622371
1,7,3,10,0.07423188,0.01,4.4209647,0.04592269,0.27245528,-0.14454082
1,7,4,10,0.07336218,0.01,4.4293866,0.04545291,0.27085453,-0.14284419
1,7,5,10,0.07249672,0.01,4.437794,0.04498173,0.26925215,-0.14117591
1,7,6,10,0.071637444,0.01,4.4461875,0.044513118,0.2676517,-0.13950105
1,7,7,10,0.070844576,0.01,4.45457,0.044063937,0.26616645,-0.1378848
1,7,8,10,0.07006707,0.01,4.462942,0.043621693,0.26470184,-0.13628925
1,7,9,10,0.06932905,0.01,4.471304,0.043170337,0.2633041,-0.13461833
1,7,10,10,0.06857452,0.01,4.4796567,0.042726196,0.26186737,-0.13301457
1,8,1,10,0.0673827,0.01,4.4879746,0.041906536,0.25958177,-0.12925957
1,8,2,10,0.06663432,0.01,4.4962606,0.041472778,0.25813624,-0.1276795
1,8,3,10,0.06596343,0.01,4.5045176,0.041054618,0.25683346,-0.12611794
1,8,4,10,0.06525689,0.01,4.5127482,0.040626105,0.2554543,-0.124532856
