# n_steps_inc = 2
# init_b = Float32[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
# n_steps_0 = 10
# target_scheme = default
# fac_pert_T = 2.0
# n_ic = 5
# n_traj = 10
# init_a = Float32[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]
# eta0 = 0.01
# julia = 1.10.10
# fac_pert_q = 0.2
# eta_decay = 0.5
# t_spinup = 31 days
# n_epochs = 5
# seed = 1234
# n_gap = 10
# created = 2026-07-11T00:16:06.278
# scheme = ConstLinearLW
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,0.182793,0.01,4.0002,0.08768706,0.42754298,-0.26514077
1,1,2,10,0.18012936,0.01,4.0007987,0.086884476,0.4244165,-0.26308322
1,1,3,10,0.17770913,0.01,4.001795,0.08609056,0.4215556,-0.2610135
1,1,4,10,0.17506434,0.01,4.003185,0.085282825,0.4184069,-0.25897786
1,1,5,10,0.17245169,0.01,4.0049653,0.08448584,0.41527304,-0.2569126
1,2,1,10,0.15966694,0.01,4.007094,0.07786396,0.39958346,-0.2342733
1,2,2,10,0.15759046,0.01,4.0095644,0.07712848,0.39697665,-0.23229562
1,2,3,10,0.15538827,0.01,4.01237,0.076398894,0.39419317,-0.23034932
1,2,4,10,0.15321155,0.01,4.0155015,0.07567675,0.39142248,-0.22840019
1,2,5,10,0.15107827,0.01,4.0189495,0.074964255,0.38868788,-0.22648004
1,3,1,10,0.15552017,0.01,4.022745,0.07763896,0.39436045,-0.23850025
1,3,2,10,0.15334782,0.01,4.0268764,0.07691018,0.3915965,-0.23656817
1,3,3,10,0.15117443,0.01,4.031331,0.07617492,0.38881156,-0.23462985
1,3,4,10,0.149107,0.01,4.036094,0.07545872,0.38614374,-0.23273113
1,3,5,10,0.14699769,0.01,4.041151,0.07474088,0.38340276,-0.23077017
1,4,1,10,0.14180401,0.01,4.0464416,0.0710852,0.37656873,-0.21840747
1,4,2,10,0.14002466,0.01,4.051948,0.070425555,0.3741987,-0.21664758
1,4,3,10,0.13812923,0.01,4.0576534,0.06973863,0.3716574,-0.21476619
1,4,4,10,0.13627331,0.01,4.063539,0.06906641,0.36915216,-0.21287577
1,4,5,10,0.13449222,0.01,4.069588,0.06841131,0.3667318,-0.2111029
1,5,1,10,0.12689772,0.01,4.075808,0.06812875,0.35622707,-0.21129648
1,5,2,10,0.1251955,0.01,4.082179,0.06749702,0.35382977,-0.20953923
1,5,3,10,0.123479225,0.01,4.0886855,0.06684652,0.3513961,-0.20775823
1,5,4,10,0.12175763,0.01,4.095311,0.06618843,0.34893787,-0.20593461
1,5,5,10,0.12009423,0.01,4.1020412,0.065558165,0.34654614,-0.20419069
1,6,1,10,0.12070556,0.01,4.1088433,0.0655788,0.34742707,-0.20550036
1,6,2,10,0.11907639,0.01,4.1157064,0.06494756,0.34507447,-0.20377263
1,6,3,10,0.11747516,0.01,4.122624,0.0641856,0.3427465,-0.20209627
1,6,4,10,0.115848355,0.01,4.1295877,0.063709624,0.34036502,-0.2004104
1,6,5,10,0.11430113,0.01,4.1365924,0.06310014,0.3380845,-0.1987492
1,7,1,10,0.10942945,0.01,4.1436,0.060148515,0.33080122,-0.18693213
1,7,2,10,0.10798455,0.01,4.150606,0.05954041,0.32861003,-0.18528515
1,7,3,10,0.10660953,0.01,4.1576023,0.059239645,0.32651114,-0.18366946
1,7,4,10,0.10524399,0.01,4.1645913,0.058384825,0.3244133,-0.1820644
1,7,5,10,0.103720546,0.01,4.17157,0.05785919,0.32205674,-0.1804876
1,8,1,10,0.104743265,0.01,4.1786666,0.061146572,0.32364064,-0.19511862
1,8,2,10,0.10329522,0.01,4.1858726,0.060554706,0.32139575,-0.19345693
1,8,3,10,0.10191691,0.01,4.1931796,0.059977163,0.31924427,-0.19181596
1,8,4,10,0.10051212,0.01,4.2005796,0.059395008,0.31703645,-0.19013284
1,8,5,10,0.099138856,0.01,4.2080665,0.05881833,0.31486323,-0.18842143
1,9,1,10,0.097409874,0.01,4.2154617,0.05441684,0.31210554,-0.16964723
1,9,2,10,0.09618264,0.01,4.2227716,0.053874508,0.31013325,-0.16796711
1,9,3,10,0.09501259,0.01,4.2300005,0.05333287,0.30824113,-0.16630997
1,9,4,10,0.09388138,0.01,4.2371545,0.052809782,0.3064007,-0.16469169
1,9,5,10,0.09278757,0.01,4.24424,0.052292638,0.30461052,-0.16310447
1,10,1,10,0.09259435,0.01,4.2514477,0.056046743,0.3042932,-0.18027537
1,10,2,10,0.09156642,0.01,4.2587724,0.055488087,0.30259943,-0.1786519
1,10,3,10,0.090337746,0.01,4.2662063,0.05496401,0.30056238,-0.17695552
1,10,4,10,0.08923162,0.01,4.2737417,0.05444833,0.2987166,-0.17530051
1,10,5,10,0.0880835,0.01,4.281372,0.05392636,0.29678863,-0.17358479
2,1,1,12,0.120590486,0.005,4.285484,0.07628486,0.3472614,-0.21124327
2,1,2,12,0.11975174,0.005,4.289846,0.07588612,0.34605163,-0.21008989
2,1,3,12,0.11887875,0.005,4.294433,0.07547252,0.34478799,-0.2088654
2,1,4,12,0.11797163,0.005,4.299223,0.07505725,0.34346998,-0.20756516
2,1,5,12,0.11702008,0.005,4.3041945,0.07461857,0.34208196,-0.20620589
2,2,1,12,0.11393359,0.005,4.309197,0.06805793,0.3375405,-0.18394405
2,2,2,12,0.11309946,0.005,4.314225,0.06761493,0.33630264,-0.18249032
2,2,3,12,0.11228181,0.005,4.319274,0.06718656,0.33508477,-0.18106854
2,2,4,12,0.11143312,0.005,4.3243384,0.06674652,0.333816,-0.17959212
2,2,5,12,0.11074904,0.005,4.329416,0.06636049,0.33278978,-0.17828599
2,3,1,12,0.10698562,0.005,4.3345337,0.06711991,0.32708657,-0.1812175
2,3,2,12,0.106182985,0.005,4.3396883,0.06669981,0.3258573,-0.1797912
2,3,3,12,0.10542832,0.005,4.3448715,0.06627519,0.3246973,-0.1783766
2,3,4,12,0.104571484,0.005,4.3500795,0.0658437,0.32337514,-0.17696235
2,3,5,12,0.10377611,0.005,4.3553076,0.06541242,0.322143,-0.17551632
2,4,1,12,0.108177,0.005,4.360609,0.06842547,0.32890272,-0.18655948
2,4,2,12,0.10736479,0.005,4.3659735,0.06799063,0.32766566,-0.1851364
2,4,3,12,0.10652901,0.005,4.3713927,0.06754743,0.32638782,-0.18365093
2,4,4,12,0.10571118,0.005,4.3768587,0.067120336,0.32513255,-0.18222019
2,4,5,12,0.104865775,0.005,4.382364,0.066668734,0.32382986,-0.18073969
2,5,1,12,0.10161669,0.005,4.3877635,0.059572544,0.31877372,-0.15743645
2,5,2,12,0.10093326,0.005,4.393064,0.059150483,0.31769997,-0.15601893
2,5,3,12,0.10025428,0.005,4.3982625,0.05912693,0.31662956,-0.15467913
2,5,4,12,0.099588335,0.005,4.4033685,0.05874217,0.3155762,-0.15342265
2,5,5,12,0.09892103,0.005,4.4083877,0.05834455,0.31451714,-0.1521435
2,6,1,12,0.09904836,0.005,4.4134912,0.06492822,0.3147195,-0.17553987
2,6,2,12,0.09838397,0.005,4.41867,0.06454711,0.3136622,-0.17438506
2,6,3,12,0.09761798,0.005,4.4239163,0.0641336,0.31243876,-0.17316793
2,6,4,12,0.09682764,0.005,4.429223,0.06371056,0.3111714,-0.17191918
