# n_steps_inc = 2
# init_b = Float32[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
# n_steps_0 = 10
# target_scheme = OneBandLongwave
# fac_pert_T = 2.0
# n_ic = 5
# n_traj = 10
# init_a = Float32[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]
# eta0 = 0.01
# julia = 1.10.10
# fac_pert_q = 0.2
# eta_decay = 0.5
# target_transmissivity = ConstantLongwaveTransmissivity
# t_spinup = 31 days
# n_epochs = 5
# seed = 1234
# model_type = PrimitiveDryModel
# n_gap = 10
# scheme = ConstLinearLW
# created = 2026-07-11T16:40:23.460
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,0.01681779,0.01,4.0002003,0.026589014,0.12968342,0.09177395
1,1,2,10,0.015998192,0.01,4.0006714,0.025788564,0.12648396,0.08970579
1,1,3,10,0.015216275,0.01,4.0011067,0.025003932,0.12335426,0.087609515
1,1,4,10,0.014472665,0.01,4.0012484,0.02423637,0.120302394,0.0853942
1,1,5,10,0.013763539,0.01,4.001245,0.0234836,0.11731811,0.08299009
1,2,1,10,0.014451157,0.01,4.001868,0.024311485,0.120212965,0.0886258
1,2,2,10,0.013739829,0.01,4.002981,0.02355709,0.11721702,0.085754186
1,2,3,10,0.013054079,0.01,4.0044627,0.022806942,0.11425445,0.082727164
1,2,4,10,0.012398538,0.01,4.0062246,0.022066882,0.111348726,0.07959639
1,2,5,10,0.011773633,0.01,4.008194,0.021338439,0.108506374,0.0764048
1,3,1,10,0.009786923,0.01,4.010204,0.01906982,0.09892888,0.06318805
1,3,2,10,0.009284446,0.01,4.012224,0.018397048,0.09635583,0.060127966
1,3,3,10,0.008807543,0.01,4.0142527,0.01773585,0.09384851,0.05725083
1,3,4,10,0.008360095,0.01,4.016294,0.017093228,0.091433555,0.054578062
1,3,5,10,0.007935725,0.01,4.018347,0.016461235,0.08908269,0.05206486
1,4,1,10,0.008488162,0.01,4.0202374,0.016495502,0.09213123,0.056819502
1,4,2,10,0.008092374,0.01,4.022033,0.015883794,0.089957625,0.05436575
1,4,3,10,0.0077109192,0.01,4.023771,0.015271495,0.08781184,0.05186761
1,4,4,10,0.007346641,0.01,4.0254703,0.014663365,0.085712545,0.049358763
1,4,5,10,0.007002008,0.01,4.027145,0.014064216,0.083678,0.046879
1,5,1,10,0.0057952255,0.01,4.0288615,0.01296034,0.07612638,0.037926234
1,5,2,10,0.005518395,0.01,4.030607,0.012417258,0.0742859,0.03565395
1,5,3,10,0.0052584764,0.01,4.0323706,0.011884915,0.07251535,0.033562835
1,5,4,10,0.0050158254,0.01,4.0341387,0.011364566,0.07082249,0.031650428
1,5,5,10,0.0047859545,0.01,4.035898,0.01084891,0.06918059,0.02988731
1,6,1,10,0.0042485176,0.01,4.037513,0.009951303,0.06518065,0.031003783
1,6,2,10,0.0040598633,0.01,4.0389853,0.009468273,0.06371706,0.029379351
1,6,3,10,0.003885491,0.01,4.040321,0.008998571,0.062333707,0.027767932
1,6,4,10,0.0037214633,0.01,4.041524,0.008533138,0.061003797,0.026143927
1,6,5,10,0.003571607,0.01,4.0426006,0.008084896,0.05976292,0.02454625
1,7,1,10,0.003920018,0.01,4.043644,0.008006638,0.062610045,0.022189775
1,7,2,10,0.003795674,0.01,4.0446463,0.007612893,0.06160904,0.020655878
1,7,3,10,0.003682207,0.01,4.0456023,0.007234792,0.06068119,0.019218944
1,7,4,10,0.0035753753,0.01,4.046503,0.006860302,0.05979444,0.017810166
1,7,5,10,0.0034757284,0.01,4.0473404,0.006491164,0.058955308,0.016477685
1,8,1,10,0.0028851454,0.01,4.047935,0.005078879,0.05371355,0.011688283
