# patience = 5
# n_steps_inc = 2
# n_in = 23
# target_scheme = OneBandLongwave
# n_ic = 5
# n_out = 10
# eta_decay = 0.7
# t_spinup = 31 days
# created = 2026-07-08T18:22:07.370
# min_delta = 0.0001
# scheme = NeuralABRLW
# n_hidden = 2
# act = leakyrelu
# n_steps_0 = 10
# fac_pert_T = 2.0
# width = 32
# n_traj = 10
# eta0 = 0.001
# julia = 1.10.11
# fac_pert_q = 0.2
# n_epochs = 10
# seed = 1234
# n_gap = 25
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd
1,1,1,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,2,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,3,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,4,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,5,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,6,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,7,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,8,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,9,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,1,10,10,2.5042975,0.001,6.5866385,0.0,0.3477254,-0.11617362,43.55432,-23.700718,102.34792,50.807243
1,2,1,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,2,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,3,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,4,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,5,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,6,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,7,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,8,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,9,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,2,10,10,2.521563,0.001,6.5866385,0.0,0.3425489,-0.11665228,43.909744,-24.188917,102.20243,50.48244
1,3,1,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,2,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,3,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,4,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,5,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,6,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,7,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,8,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,9,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,3,10,10,2.5397415,0.001,6.5866385,0.0,0.34101805,-0.114205584,44.161465,-24.509974,102.341705,50.53721
1,4,1,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,2,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,3,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,4,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,5,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,6,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,7,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,8,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,9,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
1,4,10,10,2.5560126,0.001,6.5866385,0.0,0.34156492,-0.11251796,44.349327,-24.668896,102.554924,50.704685
