# patience = 5
# n_steps_inc = 10
# n_in = 8
# target_scheme = OneBandLongwave
# n_ic = 5
# n_out = 16
# eta_decay = 0.7
# t_spinup = 31 days
# created = 2026-07-09T01:03:29.819
# min_delta = 0.0001
# scheme = NeuralLinearLW
# n_hidden = 2
# act = leakyrelu
# n_steps_0 = 20
# fac_pert_T = 2.0
# width = 32
# n_traj = 20
# eta0 = 0.001
# julia = 1.10.10
# fac_pert_q = 0.2
# n_epochs = 5
# seed = 42
# n_gap = 25
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,20,1.3014257,0.001,6.9650474,1.2768185,1.1408005,-0.9197182
1,1,2,20,1.2838509,0.001,6.9603486,1.2617482,1.1330714,-0.9127424
1,1,3,20,1.2672081,0.001,6.9560127,1.2284801,1.1257033,-0.9060812
1,1,4,20,1.2513479,0.001,6.9521317,1.2361132,1.1186366,-0.8997331
1,1,5,20,1.235872,0.001,6.948769,1.2010335,1.1116978,-0.89349025
1,2,1,20,1.1322846,0.001,6.945897,1.1360781,1.0640887,-0.8521895
1,2,2,20,1.1183593,0.001,6.9434285,1.1080568,1.057525,-0.8460809
1,2,3,20,1.1045203,0.001,6.9413543,1.0881082,1.0509616,-0.840034
1,2,4,20,1.0915381,0.001,6.939689,1.0982902,1.044767,-0.83406794
1,2,5,20,1.0778368,0.001,6.9384775,1.1017681,1.0381892,-0.8277336
1,3,1,20,1.0141112,0.001,6.9377275,1.0717645,1.0070308,-0.79632103
1,3,2,20,0.9992553,0.001,6.9375334,1.0855548,0.9996276,-0.78924006
1,3,3,20,0.98365515,0.001,6.93795,1.1010956,0.99179393,-0.7817423
1,3,4,20,0.96760565,0.001,6.9389305,1.114689,0.98366946,-0.7739773
1,3,5,20,0.95252943,0.001,6.9404073,1.0975164,0.97597617,-0.7661217
1,4,1,20,1.0011536,0.001,6.9423695,1.1533102,1.0005766,-0.7914395
1,4,2,20,0.9837291,0.001,6.9448285,1.1717681,0.9918312,-0.78269404
1,4,3,20,0.966236,0.001,6.9477615,1.1762857,0.98297304,-0.7737359
1,4,4,20,0.9473992,0.001,6.951169,1.1793853,0.9733443,-0.76397014
