# act = leakyrelu
# n_steps_inc = 5
# n_in = 8
# n_steps_0 = 10
# target_scheme = OneBandLongwave
# fac_pert_T = 2.0
# width = 32
# n_ic = 5
# n_traj = 10
# eta0 = 0.001
# julia = 1.10.10
# n_out = 16
# eta_decay = 0.5
# fac_pert_q = 0.2
# t_spinup = 31 days
# n_epochs = 5
# seed = 1234
# n_gap = 25
# created = 2026-07-11T00:16:59.615
# scheme = NeuralLinearLW
# n_hidden = 1
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,0.46689814,0.001,6.2017517,0.7116752,0.6832995,-0.51281977
1,1,2,10,0.45312575,0.001,6.199529,0.6885704,0.6731461,-0.5054887
1,1,3,10,0.4396928,0.001,6.1976504,0.66679084,0.6630933,-0.4982969
1,1,4,10,0.42683715,0.001,6.1961226,0.64585525,0.65332776,-0.49125707
1,1,5,10,0.41482478,0.001,6.1949368,0.6267919,0.64406896,-0.48450944
1,2,1,10,0.39730638,0.001,6.194036,0.59811264,0.63032246,-0.47703663
1,2,2,10,0.38610196,0.001,6.193397,0.58085185,0.62137103,-0.47042584
1,2,3,10,0.37542886,0.001,6.1930013,0.5639378,0.6127225,-0.4640057
1,2,4,10,0.36534923,0.001,6.1928306,0.54790056,0.6044413,-0.45775956
1,2,5,10,0.35567725,0.001,6.192887,0.5352655,0.59638685,-0.45162448
1,3,1,10,0.34355423,0.001,6.193165,0.5150871,0.58613497,-0.4439188
1,3,2,10,0.33478174,0.001,6.193664,0.5047073,0.57860327,-0.4379918
1,3,3,10,0.32624194,0.001,6.194384,0.49570218,0.57117593,-0.43214995
1,3,4,10,0.31813225,0.001,6.1953254,0.48692396,0.56403214,-0.4263634
1,3,5,10,0.3104014,0.001,6.196482,0.47862175,0.5571368,-0.42072585
1,4,1,10,0.30110705,0.001,6.197839,0.46569657,0.5487322,-0.4137671
1,4,2,10,0.29394814,0.001,6.1993866,0.45934469,0.54216987,-0.40818796
1,4,3,10,0.28679004,0.001,6.2011123,0.4538443,0.5355278,-0.40246528
1,4,4,10,0.27989557,0.001,6.2030053,0.4493969,0.5290516,-0.39683285
