# act = leakyrelu
# n_steps_inc = 5
# n_in = 8
# n_steps_0 = 10
# target_scheme = OneBandLongwave
# fac_pert_T = 2.0
# width = 32
# n_ic = 5
# n_traj = 10
# eta0 = 0.001
# julia = 1.10.10
# n_out = 16
# eta_decay = 0.5
# fac_pert_q = 0.2
# t_spinup = 31 days
# n_epochs = 5
# seed = 1234
# n_gap = 25
# created = 2026-07-11T00:17:19.972
# scheme = NeuralLinearLW
# n_hidden = 2
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,0.32532015,0.001,7.0831037,0.44109166,0.5703684,-0.4483511
1,1,2,10,0.31669304,0.001,7.0783486,0.43175676,0.56275487,-0.44239482
1,1,3,10,0.3083198,0.001,7.0740585,0.42615476,0.55526555,-0.43653646
1,1,4,10,0.29981533,0.001,7.0701556,0.42135987,0.54755396,-0.43044817
1,1,5,10,0.29161727,0.001,7.0666757,0.41416913,0.540016,-0.4244361
1,2,1,10,0.28021625,0.001,7.0636153,0.39931005,0.5293546,-0.41760015
1,2,2,10,0.2724644,0.001,7.0609913,0.3932349,0.52198124,-0.41151983
1,2,3,10,0.26502424,0.001,7.058809,0.39017642,0.5148051,-0.40548718
1,2,4,10,0.25776473,0.001,7.057076,0.38738143,0.50770533,-0.39940998
1,2,5,10,0.2503191,0.001,7.0558033,0.38469487,0.500319,-0.3930514
1,3,1,10,0.24199222,0.001,7.0549603,0.37789103,0.49192706,-0.38541043
1,3,2,10,0.23468511,0.001,7.0545583,0.3742151,0.4844431,-0.37870872
1,3,3,10,0.22762293,0.001,7.054604,0.37221256,0.47709844,-0.37190625
1,3,4,10,0.22038747,0.001,7.0551057,0.37150577,0.46945444,-0.36471412
1,3,5,10,0.21330723,0.001,7.0560536,0.37067232,0.46185195,-0.35727477
1,4,1,10,0.2036689,0.001,7.0574102,0.36750773,0.45129693,-0.3479447
1,4,2,10,0.19610721,0.001,7.0591617,0.36786997,0.44283995,-0.33970279
1,4,3,10,0.18842553,0.001,7.061299,0.3696744,0.4340801,-0.33108267
1,4,4,10,0.18063015,0.001,7.0638046,0.36980295,0.42500606,-0.3220263
1,4,5,10,0.17259124,0.001,7.066664,0.36887228,0.415441,-0.31239882
1,5,1,10,0.16424042,0.001,7.0698624,0.36398718,0.40526587,-0.30249196
1,5,2,10,0.15644768,0.001,7.073387,0.3603166,0.39553466,-0.29221582
1,5,3,10,0.14830361,0.001,7.0772204,0.35527116,0.3851021,-0.28110278
1,5,4,10,0.14054963,0.001,7.0813403,0.34777123,0.3748995,-0.26986074
1,5,5,10,0.13287923,0.001,7.0857086,0.33925295,0.36452603,-0.25812888
1,6,1,10,0.12580727,0.001,7.0902658,0.32775924,0.3546932,-0.24535017
1,6,2,10,0.118654735,0.001,7.094957,0.31769904,0.34446296,-0.23284894
1,6,3,10,0.111442685,0.001,7.0997076,0.3079026,0.33383033,-0.21990158
1,6,4,10,0.10439691,0.001,7.1044154,0.2972083,0.3231051,-0.20648757
1,6,5,10,0.09765244,0.001,7.109039,0.28559688,0.31249392,-0.19276002
1,7,1,10,0.093288675,0.001,7.1135144,0.27112627,0.30543196,-0.18033007
1,7,2,10,0.08747453,0.001,7.1177936,0.25921717,0.29576093,-0.16668564
1,7,3,10,0.081871785,0.001,7.121839,0.24642178,0.28613245,-0.15269952
1,7,4,10,0.07637738,0.001,7.1256223,0.23308481,0.27636456,-0.13874921
1,7,5,10,0.07116838,0.001,7.129121,0.21961388,0.26677403,-0.12487257
1,8,1,10,0.0659416,0.001,7.1322937,0.20521161,0.25679097,-0.11034432
1,8,2,10,0.0616595,0.001,7.135131,0.1922623,0.24831331,-0.09719446
1,8,3,10,0.05744086,0.001,7.1376195,0.17921115,0.23966822,-0.08437473
1,8,4,10,0.053533193,0.001,7.1397357,0.16625611,0.23137242,-0.071990155
1,8,5,10,0.05012325,0.001,7.1414595,0.15360193,0.22388221,-0.060290776
1,9,1,10,0.04812857,0.001,7.1427503,0.1426248,0.21938226,-0.049012624
1,9,2,10,0.045556854,0.001,7.1435776,0.13314524,0.21344052,-0.038726162
1,9,3,10,0.043231275,0.001,7.1439013,0.12526582,0.20792133,-0.029132174
1,9,4,10,0.04118765,0.001,7.1436877,0.11884981,0.20294741,-0.020545054
1,9,5,10,0.03947673,0.001,7.142909,0.11416428,0.19868752,-0.012971947
1,10,1,10,0.038905073,0.001,7.141519,0.111237004,0.19724369,-0.0063817995
1,10,2,10,0.037749942,0.001,7.139503,0.11041976,0.19429344,-0.0009863582
1,10,3,10,0.03670833,0.001,7.136863,0.10996029,0.19159418,0.0033232751
1,10,4,10,0.036253434,0.001,7.1336164,0.1094334,0.19040334,0.0067113675
1,10,5,10,0.035395253,0.001,7.12979,0.108117536,0.18813626,0.0089517925
2,1,1,15,0.0597966,0.0005,7.127055,0.35281125,0.24453343,0.05211187
2,1,2,15,0.058672443,0.0005,7.1236367,0.34594783,0.24222395,0.05075895
2,1,3,15,0.057095613,0.0005,7.11969,0.33121985,0.23894688,0.047402453
2,1,4,15,0.055133168,0.0005,7.115353,0.31074113,0.23480453,0.042325005
2,1,5,15,0.053052228,0.0005,7.110751,0.28510118,0.23033069,0.035848603
2,2,1,15,0.053327397,0.0005,7.105991,0.25214362,0.23092726,0.027579674
2,2,2,15,0.051427096,0.0005,7.1011705,0.22347474,0.22677544,0.019698778
2,2,3,15,0.04957397,0.0005,7.096373,0.19569261,0.22265212,0.01168531
2,2,4,15,0.047885004,0.0005,7.091674,0.16931859,0.21882643,0.0037595816
2,2,5,15,0.046171866,0.0005,7.087133,0.14669585,0.2148764,-0.0039373077
2,3,1,15,0.055924863,0.0005,7.0827365,0.14097197,0.23648438,-0.0045799324
2,3,2,15,0.054764796,0.0005,7.0785313,0.12538947,0.23401879,-0.011099452
2,3,3,15,0.053015497,0.0005,7.074555,0.112264656,0.23025094,-0.017046504
