# n_steps_inc = 5
# n_in = 8
# target_scheme = OneBandLongwave
# n_ic = 5
# n_out = 16
# eta_decay = 0.5
# target_transmissivity = FriersonLongwaveTransmissivity
# t_spinup = 31 days
# created = 2026-07-11T16:41:09.118
# scheme = NeuralLinearLW
# n_hidden = 2
# act = leakyrelu
# n_steps_0 = 10
# fac_pert_T = 2.0
# width = 32
# n_traj = 10
# eta0 = 0.001
# julia = 1.10.10
# fac_pert_q = 0.2
# n_epochs = 5
# seed = 1234
# model_type = PrimitiveWetModel
# n_gap = 25
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,0.34873915,0.001,7.096536,0.45391995,0.5905414,-0.45200002
1,1,2,10,0.3397786,0.001,7.0903835,0.44005582,0.5829053,-0.44569826
1,1,3,10,0.33120033,0.001,7.08455,0.41933328,0.5755001,-0.4396696
1,1,4,10,0.32320866,0.001,7.0789194,0.40267044,0.5685144,-0.43404543
1,1,5,10,0.3156749,0.001,7.073664,0.3941139,0.56184953,-0.4287157
1,2,1,10,0.3045341,0.001,7.068848,0.38229528,0.5518461,-0.42248204
1,2,2,10,0.29736683,0.001,7.0645075,0.37986717,0.54531354,-0.4172179
1,2,3,10,0.29029712,0.001,7.0607004,0.37845054,0.53879225,-0.41191933
1,2,4,10,0.2832778,0.001,7.057452,0.37746868,0.5322385,-0.40658197
1,2,5,10,0.27611196,0.001,7.0547576,0.37751064,0.5254636,-0.40100765
1,3,1,10,0.26722085,0.001,7.0526233,0.37243825,0.5169341,-0.39431986
1,3,2,10,0.26015687,0.001,7.051024,0.37382394,0.5100558,-0.38851744
1,3,3,10,0.25280994,0.001,7.04994,0.37530342,0.5028021,-0.38226703
1,3,4,10,0.24540171,0.001,7.049346,0.3774392,0.49538037,-0.37587833
1,3,5,10,0.23759283,0.001,7.0492396,0.38509384,0.48743495,-0.3690525
1,4,1,10,0.22817518,0.001,7.04962,0.38369796,0.47767687,-0.36077553
1,4,2,10,0.22007836,0.001,7.0504866,0.3850588,0.4691251,-0.35328105
1,4,3,10,0.21193446,0.001,7.05184,0.38549963,0.4603634,-0.34547633
1,4,4,10,0.20363553,0.001,7.0536814,0.3864141,0.45125994,-0.33711883
1,4,5,10,0.1952276,0.001,7.0560102,0.38697836,0.44184566,-0.32838726
1,5,1,10,0.18722849,0.001,7.0588074,0.38408193,0.43269908,-0.31956038
1,5,2,10,0.17857593,0.001,7.0620666,0.38407686,0.42258245,-0.30986142
1,5,3,10,0.16985494,0.001,7.0657783,0.38365647,0.41213462,-0.29970026
1,5,4,10,0.16108574,0.001,7.069933,0.38265923,0.40135488,-0.28893387
1,5,5,10,0.15218183,0.001,7.0745134,0.3811507,0.3901049,-0.27759495
1,6,1,10,0.14512543,0.001,7.07949,0.37597698,0.3809533,-0.26624107
1,6,2,10,0.13623928,0.001,7.0848246,0.37350062,0.36910605,-0.2535828
1,6,3,10,0.12726395,0.001,7.0904655,0.37118414,0.35674074,-0.24030252
1,6,4,10,0.11830513,0.001,7.0963607,0.36381546,0.34395513,-0.22623378
1,6,5,10,0.10974242,0.001,7.1024594,0.35468957,0.33127394,-0.21151781
1,7,1,10,0.103163525,0.001,7.1086946,0.3403389,0.3211908,-0.19785085
1,7,2,10,0.09512974,0.001,7.115003,0.32766077,0.3084311,-0.18220134
1,7,3,10,0.08758525,0.001,7.1213107,0.31342933,0.29594806,-0.16607039
1,7,4,10,0.08049623,0.001,7.127535,0.29711607,0.2837186,-0.14943646
1,7,5,10,0.07375918,0.001,7.1335974,0.2794752,0.27158642,-0.13255465
1,8,1,10,0.06797259,0.001,7.13944,0.2601248,0.26071554,-0.1170209
1,8,2,10,0.062419854,0.001,7.144982,0.24167055,0.24983966,-0.100427136
1,8,3,10,0.057513002,0.001,7.1501226,0.2233981,0.23981869,-0.08424573
1,8,4,10,0.053449005,0.001,7.1547565,0.20625894,0.23119041,-0.068573646
1,8,5,10,0.049751215,0.001,7.158785,0.19012876,0.2230498,-0.053642828
1,9,1,10,0.04719742,0.001,7.162169,0.17594926,0.21724968,-0.042322665
1,9,2,10,0.04445568,0.001,7.1648445,0.1644472,0.21084516,-0.029851906
1,9,3,10,0.04208898,0.001,7.1667686,0.15530215,0.205156,-0.018686384
1,9,4,10,0.040267725,0.001,7.167911,0.14814179,0.2006682,-0.008689665
1,9,5,10,0.0383764,0.001,7.168253,0.14209144,0.19589895,-0.00021589163
1,10,1,10,0.036782373,0.001,7.1678467,0.13075909,0.19178732,0.0037854405
1,10,2,10,0.03523074,0.001,7.166716,0.1255047,0.18769854,0.008858834
1,10,3,10,0.033842925,0.001,7.164906,0.11983406,0.18396446,0.01238556
1,10,4,10,0.032543,0.001,7.162473,0.11381409,0.18039678,0.014690057
