# n_steps_inc = 5
# n_in = 8
# target_scheme = OneBandLongwave
# n_ic = 5
# n_out = 16
# eta_decay = 0.5
# target_transmissivity = ConstantLongwaveTransmissivity
# t_spinup = 31 days
# created = 2026-07-11T16:41:32.430
# scheme = NeuralLinearLW
# n_hidden = 2
# act = leakyrelu
# n_steps_0 = 10
# fac_pert_T = 2.0
# width = 32
# n_traj = 10
# eta0 = 0.001
# julia = 1.10.10
# fac_pert_q = 0.2
# n_epochs = 5
# seed = 1234
# model_type = PrimitiveDryModel
# n_gap = 25
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,0.022567356,0.001,7.0765743,0.088826254,0.15022436,-0.08407001
1,1,2,10,0.021490129,0.001,7.061835,0.085753195,0.14659512,-0.08089028
1,1,3,10,0.020468373,0.001,7.047401,0.08265162,0.14306772,-0.077707
1,1,4,10,0.019500768,0.001,7.033281,0.0796136,0.13964514,-0.0745338
1,1,5,10,0.01858443,0.001,7.0195127,0.07652529,0.13632472,-0.07139087
1,2,1,10,0.017397864,0.001,7.0061016,0.07318195,0.13190097,-0.06976072
1,2,2,10,0.016561482,0.001,6.993008,0.07013522,0.12869142,-0.06663866
1,2,3,10,0.015762283,0.001,6.9802027,0.06714926,0.12554793,-0.06353455
1,2,4,10,0.015001848,0.001,6.9676375,0.06423462,0.12248203,-0.060481533
1,2,5,10,0.014268222,0.001,6.955258,0.06137011,0.11944967,-0.057458956
1,3,1,10,0.013266588,0.001,6.9429555,0.058283065,0.11518067,-0.055803813
1,3,2,10,0.012597339,0.001,6.9308,0.055687983,0.11223787,-0.052957818
1,3,3,10,0.0119512,0.001,6.9187355,0.053238302,0.10932154,-0.050197005
1,3,4,10,0.0113244,0.001,6.906767,0.05091425,0.106416166,-0.04756284
1,3,5,10,0.010713917,0.001,6.894899,0.048694834,0.103508055,-0.0450122
1,4,1,10,0.009832451,0.001,6.8831005,0.045982096,0.09915872,-0.043472007
1,4,2,10,0.009264409,0.001,6.871391,0.04388866,0.0962518,-0.04106199
1,4,3,10,0.008714927,0.001,6.859778,0.041843276,0.09335378,-0.038706414
1,4,4,10,0.008191192,0.001,6.8482633,0.039876413,0.090505205,-0.036457147
1,4,5,10,0.0076903906,0.001,6.8368506,0.037964746,0.08769487,-0.0342826
1,5,1,10,0.006850238,0.001,6.825533,0.0354863,0.08276617,-0.032945152
1,5,2,10,0.0063998736,0.001,6.814305,0.033625502,0.07999921,-0.030851375
1,5,3,10,0.0059743025,0.001,6.8031564,0.03179124,0.07729361,-0.028793436
1,5,4,10,0.005576793,0.001,6.7920685,0.029968373,0.07467793,-0.026815379
1,5,5,10,0.0052088047,0.001,6.7810154,0.028186318,0.07217205,-0.02486682
1,6,1,10,0.004571995,0.001,6.7699723,0.025791535,0.06761653,-0.023391077
1,6,2,10,0.004269627,0.001,6.7589035,0.024051381,0.06534238,-0.021426234
1,6,3,10,0.0039924853,0.001,6.7477717,0.022397589,0.06318612,-0.019511828
1,6,4,10,0.0037480954,0.001,6.7365384,0.020806931,0.06122169,-0.01761094
1,6,5,10,0.0035305808,0.001,6.7251663,0.019305322,0.05941869,-0.015734082
1,7,1,10,0.0031738344,0.001,6.713575,0.017853104,0.056336794,-0.014024581
1,7,2,10,0.0030113861,0.001,6.7017307,0.016679611,0.054876097,-0.012176244
1,7,3,10,0.0028674924,0.001,6.689606,0.015620804,0.053548973,-0.01040129
1,7,4,10,0.0027378714,0.001,6.6771817,0.014642594,0.05232467,-0.00869511
1,7,5,10,0.0026194465,0.001,6.664449,0.013723098,0.051180527,-0.0071032178
1,8,1,10,0.002498478,0.001,6.651329,0.014186825,0.049984775,-0.005632916
1,8,2,10,0.002401946,0.001,6.6378436,0.013467222,0.049009655,-0.004295723
1,8,3,10,0.0023088194,0.001,6.6240206,0.012638827,0.048050176,-0.003118182
1,8,4,10,0.0022204523,0.001,6.6098943,0.01168469,0.047121674,-0.002149503
1,8,5,10,0.0021384812,0.001,6.5955024,0.0106310565,0.046243716,-0.0013300801
1,9,1,10,0.0021752228,0.001,6.580815,0.01169355,0.046639286,-0.0005542841
1,9,2,10,0.0021022074,0.001,6.565882,0.010465504,0.045849834,-0.00012792602
1,9,3,10,0.002036605,0.001,6.5507545,0.009184002,0.04512876,0.00012476275
1,9,4,10,0.001980699,0.001,6.5354776,0.007930776,0.044505045,0.0002339699
1,9,5,10,0.0019344138,0.001,6.5200934,0.0068094097,0.043981973,0.00022693655
1,10,1,10,0.002078068,0.001,6.5045867,0.007946509,0.04558583,0.00037329426
1,10,2,10,0.0020400027,0.001,6.4890094,0.006995174,0.04516639,0.00011529826
1,10,3,10,0.002009288,0.001,6.4734135,0.006321749,0.04482508,-0.00020712434
1,10,4,10,0.0019837476,0.001,6.4578433,0.00594061,0.04453928,-0.0005549481
1,10,5,10,0.0019619868,0.001,6.442342,0.005817435,0.04429432,-0.0009119824
2,1,1,15,0.00908912,0.0005,6.435014,0.036252275,0.09533688,0.000579651
2,1,2,15,0.009061587,0.0005,6.4280596,0.035971027,0.095192365,0.00077381276
2,1,3,15,0.00898691,0.0005,6.421436,0.034827314,0.09479931,0.0012113543
2,1,4,15,0.008878622,0.0005,6.415106,0.03298362,0.09422644,0.0018925787
2,1,5,15,0.008750395,0.0005,6.4090304,0.0306624,0.093543544,0.002717725
2,2,1,15,0.010443384,0.0005,6.4032316,0.030677408,0.10219288,0.0008738619
2,2,2,15,0.010289922,0.0005,6.397665,0.028034776,0.10143925,0.0018388262
