# act = leakyrelu
# n_steps_inc = 2
# n_in = 8
# n_steps_0 = 10
# target_scheme = OneBandLongwave
# fac_pert_T = 2.0
# width = 32
# n_ic = 10
# n_traj = 10
# eta0 = 0.001
# julia = 1.10.10
# n_out = 16
# eta_decay = 0.5
# fac_pert_q = 0.2
# t_spinup = 31 days
# n_epochs = 5
# seed = 1234
# n_gap = 25
# created = 2026-07-11T00:15:59.248
# scheme = NeuralLinearLW
# n_hidden = 2
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,0.34050068,0.001,7.1973934,0.34851676,0.58352435,-0.45303357
1,1,2,10,0.33465436,0.001,7.190489,0.34159413,0.5784932,-0.44824624
1,1,3,10,0.32883272,0.001,7.184128,0.33461925,0.57343936,-0.4435142
1,1,4,10,0.32336092,0.001,7.1782556,0.32962596,0.56864834,-0.43900126
1,1,5,10,0.31826,0.001,7.172827,0.32551834,0.5641454,-0.43474668
1,2,1,10,0.31240922,0.001,7.1678486,0.3199019,0.5589358,-0.43067023
1,2,2,10,0.30758253,0.001,7.1632977,0.316105,0.55460125,-0.4265193
1,2,3,10,0.3028466,0.001,7.1591554,0.31382382,0.550315,-0.42244443
1,2,4,10,0.29833364,0.001,7.1554203,0.31306583,0.54619926,-0.41844633
1,2,5,10,0.29366094,0.001,7.152073,0.31313485,0.5419049,-0.41427287
1,3,1,10,0.28767362,0.001,7.1490965,0.31269607,0.53635216,-0.4097147
1,3,2,10,0.28292522,0.001,7.146479,0.31416875,0.53190714,-0.4054376
1,3,3,10,0.2781883,0.001,7.1442194,0.31649825,0.5274356,-0.40105623
1,3,4,10,0.27318445,0.001,7.1423254,0.31848645,0.5226705,-0.39648515
1,3,5,10,0.2681726,0.001,7.140805,0.32008934,0.51785386,-0.39172548
1,4,1,10,0.26018995,0.001,7.1396594,0.31731182,0.5100882,-0.38543823
1,4,2,10,0.25511178,0.001,7.1388927,0.31906024,0.50508595,-0.38049132
1,4,3,10,0.24985361,0.001,7.138519,0.32142892,0.49985358,-0.37526405
1,4,4,10,0.24443017,0.001,7.1385527,0.32404882,0.4943988,-0.36977622
1,4,5,10,0.23886345,0.001,7.1390057,0.32675347,0.4887366,-0.36404422
1,5,1,10,0.23176222,0.001,7.1398745,0.32624388,0.48141688,-0.3561597
1,5,2,10,0.22576037,0.001,7.141167,0.32900044,0.47514248,-0.34975174
1,5,3,10,0.21981916,0.001,7.142891,0.33176425,0.46884876,-0.34309825
1,5,4,10,0.21349941,0.001,7.145057,0.33447933,0.46205997,-0.33597174
1,5,5,10,0.20678093,0.001,7.1476645,0.3367617,0.4547317,-0.32834572
1,6,1,10,0.19887602,0.001,7.1507263,0.33691806,0.4459552,-0.3197096
1,6,2,10,0.19198558,0.001,7.1542287,0.33856124,0.43816158,-0.31128174
1,6,3,10,0.1849462,0.001,7.158154,0.33951208,0.4300537,-0.3024643
1,6,4,10,0.17767543,0.001,7.1624846,0.33977336,0.42151564,-0.2931133
1,6,5,10,0.17035703,0.001,7.1672053,0.33946967,0.4127433,-0.2834004
1,7,1,10,0.16222386,0.001,7.172298,0.33595765,0.40277022,-0.27205318
1,7,2,10,0.1551314,0.001,7.177731,0.3341188,0.39386722,-0.26180643
1,7,3,10,0.14762351,0.001,7.183485,0.33149326,0.38421804,-0.2507645
1,7,4,10,0.13989705,0.001,7.189537,0.32793376,0.37402815,-0.239336
1,7,5,10,0.13235761,0.001,7.1958594,0.32335758,0.36380985,-0.22748692
1,8,1,10,0.12670577,0.001,7.2023993,0.31583196,0.35595754,-0.21385756
1,8,2,10,0.11927926,0.001,7.209111,0.30946445,0.3453683,-0.2013948
1,8,3,10,0.112171985,0.001,7.2159452,0.30214787,0.33492085,-0.18864243
1,8,4,10,0.10522406,0.001,7.2228484,0.29393032,0.32438257,-0.17575034
1,8,5,10,0.09832349,0.001,7.2297645,0.28433928,0.31356576,-0.16251393
1,9,1,10,0.09406476,0.001,7.2366166,0.2701242,0.30669978,-0.14851178
1,9,2,10,0.08782289,0.001,7.243359,0.25860348,0.2963493,-0.13529809
1,9,3,10,0.08181644,0.001,7.249946,0.24617118,0.28603575,-0.122179456
1,9,4,10,0.07613839,0.001,7.256329,0.23276965,0.27593186,-0.10905736
1,9,5,10,0.07091184,0.001,7.2624536,0.2184519,0.26629278,-0.0962364
1,10,1,10,0.065125875,0.001,7.2682886,0.20511109,0.2551977,-0.084931344
1,10,2,10,0.06049108,0.001,7.2737784,0.19140708,0.24594934,-0.07307918
1,10,3,10,0.056498073,0.001,7.278876,0.17814654,0.23769324,-0.061836552
1,10,4,10,0.052549955,0.001,7.2835317,0.16500384,0.22923777,-0.051138077
1,10,5,10,0.048928685,0.001,7.287697,0.1522797,0.22119829,-0.041123945
2,1,1,12,0.04825656,0.0005,7.28945,0.17805836,0.21967377,-0.02141484
2,1,2,12,0.046379633,0.0005,7.290857,0.1717872,0.21535932,-0.015931647
2,1,3,12,0.044598036,0.0005,7.2919273,0.16280572,0.21118248,-0.0112647675
2,1,4,12,0.042808466,0.0005,7.2926755,0.15552215,0.20690207,-0.007272708
2,1,5,12,0.0413265,0.0005,7.2931128,0.14844964,0.20328921,-0.003973825
2,2,1,12,0.0380973,0.0005,7.293275,0.13832544,0.19518529,-0.0044296957
2,2,2,12,0.036696978,0.0005,7.293172,0.13133845,0.19156456,-0.0022709346
2,2,3,12,0.035301425,0.0005,7.2928176,0.12475674,0.18788673,-0.00048962986
2,2,4,12,0.034028742,0.0005,7.2922263,0.118167385,0.1844688,0.00074263534
2,2,5,12,0.032924064,0.0005,7.291413,0.11157266,0.18144989,0.0015698624
2,3,1,12,0.031978633,0.0005,7.29041,0.10489197,0.1788257,0.00026335378
2,3,2,12,0.030927273,0.0005,7.289235,0.09826037,0.17586152,0.0006886697
2,3,3,12,0.029960215,0.0005,7.287904,0.09176968,0.17309019,0.0007894015
2,3,4,12,0.029170848,0.0005,7.286431,0.08571134,0.17079476,0.00081850303
2,3,5,12,0.028342446,0.0005,7.28483,0.07995906,0.16835216,0.0007919651
2,4,1,12,0.02871629,0.0005,7.283148,0.072182015,0.16945882,-0.0028618309
2,4,2,12,0.028110366,0.0005,7.2813945,0.06717099,0.16766146,-0.0030601458
2,4,3,12,0.027582886,0.0005,7.279585,0.062638566,0.16608097,-0.0034790677
2,4,4,12,0.027097594,0.0005,7.27773,0.058788583,0.16461347,-0.003919458
2,4,5,12,0.026714446,0.0005,7.275839,0.05510715,0.16344555,-0.0042104325
2,5,1,12,0.027555436,0.0005,7.273936,0.054196473,0.1659983,-0.0063026
2,5,2,12,0.027252737,0.0005,7.2720256,0.0516679,0.16508403,-0.006549391
2,5,3,12,0.026954262,0.0005,7.270115,0.04950884,0.16417754,-0.006795483
2,5,4,12,0.026704708,0.0005,7.2682047,0.047623724,0.16341574,-0.006907334
2,5,5,12,0.02645446,0.0005,7.2662983,0.045480285,0.16264828,-0.0068857586
2,6,1,12,0.027705058,0.0005,7.264432,0.05245772,0.16644837,-0.010336853
2,6,2,12,0.027495986,0.0005,7.2626014,0.050396215,0.16581914,-0.010063047
2,6,3,12,0.027274845,0.0005,7.260802,0.048297588,0.16515097,-0.00977393
2,6,4,12,0.027052987,0.0005,7.2590284,0.046102297,0.16447793,-0.0093978755
2,6,5,12,0.026858179,0.0005,7.257276,0.04367467,0.16388465,-0.008949498
2,7,1,12,0.02874151,0.0005,7.255534,0.04489505,0.16953321,-0.0089576235
2,7,2,12,0.028596375,0.0005,7.2537813,0.03880928,0.16910462,-0.008470753
2,7,3,12,0.02842322,0.0005,7.2520123,0.03654434,0.16859187,-0.007946112
2,7,4,12,0.028289666,0.0005,7.2502255,0.034467448,0.16819532,-0.0074634347
2,7,5,12,0.028130213,0.0005,7.248414,0.032403026,0.16772065,-0.0068480545
2,8,1,12,0.029223086,0.0005,7.2465854,0.035668887,0.17094761,-0.0071439804
2,8,2,12,0.02905914,0.0005,7.2447333,0.033676513,0.17046742,-0.006502081
2,8,3,12,0.028859198,0.0005,7.242855,0.031822827,0.16987996,-0.005904525
2,8,4,12,0.028670682,0.0005,7.2409463,0.03033786,0.16932419,-0.005331047
2,8,5,12,0.028536668,0.0005,7.239006,0.028999327,0.168928,-0.004812853
2,9,1,12,0.026484678,0.0005,7.2370605,0.030304192,0.16274114,-0.0073843244
2,9,2,12,0.026328389,0.0005,7.235108,0.029025042,0.16226025,-0.006938533
2,9,3,12,0.026218317,0.0005,7.2331433,0.026992857,0.16192071,-0.006502198
2,9,4,12,0.026092483,0.0005,7.2311673,0.02689674,0.16153167,-0.0060357423
2,9,5,12,0.025936497,0.0005,7.22918,0.026202738,0.16104811,-0.005598478
2,10,1,12,0.0286069,0.0005,7.2271695,0.026553828,0.16913573,-0.004745716
2,10,2,12,0.028697142,0.0005,7.225137,0.026219446,0.16940232,-0.00441531
2,10,3,12,0.028522288,0.0005,7.2230835,0.026006248,0.16888542,-0.0041183913
2,10,4,12,0.028309198,0.0005,7.2210126,0.025678283,0.16825338,-0.00391342
2,10,5,12,0.028129471,0.0005,7.2189245,0.025505733,0.16771843,-0.0036521133
3,1,1,14,0.024530714,0.00025,7.2177615,0.12361199,0.15662284,0.018690506
3,1,2,14,0.024428526,0.00025,7.216494,0.12187814,0.15629628,0.018157525
3,1,3,14,0.024262019,0.00025,7.215142,0.11802015,0.1557627,0.017095953
3,1,4,14,0.02399997,0.00025,7.2137218,0.11265128,0.15491924,0.015696218
3,1,5,14,0.023736952,0.00025,7.2122555,0.1061441,0.15406801,0.013871891
3,2,1,14,0.024978224,0.00025,7.210753,0.09375056,0.15804501,0.012205298
3,2,2,14,0.024751145,0.00025,7.209232,0.08578428,0.15732497,0.009960056
3,2,3,14,0.024492921,0.00025,7.207711,0.07747262,0.15650214,0.007618468
3,2,4,14,0.024179991,0.00025,7.2062073,0.06914089,0.15549918,0.005125729
3,2,5,14,0.023942493,0.00025,7.2047367,0.0615169,0.15473361,0.002660864
