ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,5,0.08936035,0.001,4.0,0.036809187,0.29633182,-0.17449546
1,1,2,5,0.08936035,0.001,4.0,0.036809187,0.29633182,-0.17449546
1,2,1,5,0.08726311,0.001,4.000002,0.036167327,0.29292303,-0.17098808
1,2,2,5,0.087156,0.001,3.9999783,0.036141135,0.29274386,-0.1708559
1,3,1,5,0.08654888,0.001,3.9999404,0.035456017,0.29184502,-0.16409704
1,3,2,5,0.08646611,0.001,3.999895,0.03543255,0.2917064,-0.16399628
1,4,1,5,0.086557485,0.001,3.999844,0.035010744,0.2923269,-0.16053814
1,4,2,5,0.08647522,0.001,3.99979,0.034990497,0.29218894,-0.16044499
1,5,1,5,0.08297534,0.001,3.9997363,0.03471897,0.28584886,-0.16124116
1,5,2,5,0.08289577,0.001,3.9996843,0.034699105,0.2857139,-0.16115257
1,6,1,5,0.08719888,0.001,3.9996374,0.03505161,0.29313856,-0.16569342
1,6,2,5,0.087112084,0.001,3.9995954,0.03502987,0.29299328,-0.16559622
1,7,1,5,0.08399347,0.001,3.9995613,0.03531872,0.28731146,-0.16893552
1,7,2,5,0.083906986,0.001,3.9995337,0.035297234,0.28716418,-0.16883206
1,8,1,5,0.08319612,0.001,3.9995134,0.035462078,0.28580815,-0.17090407
1,8,2,5,0.0831018,0.001,3.999499,0.035438914,0.28564683,-0.17080235
1,9,1,5,0.08165335,0.001,3.99949,0.034916054,0.2833572,-0.16763662
1,9,2,5,0.08156364,0.001,3.9994855,0.034892745,0.2832026,-0.16752675
1,10,1,5,0.079488,0.001,3.999484,0.034027938,0.27962515,-0.16109803
1,10,2,5,0.07939416,0.001,3.9994855,0.034003608,0.2794603,-0.1609792
