ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,5,0.06960667,0.1,4.0,0.031814095,0.26279366,-0.16016169
1,2,1,5,0.06545073,0.1,4.0,0.030076679,0.2550129,-0.14842023
1,3,1,5,0.06862499,0.1,4.0,0.03150882,0.2610251,-0.15831763
1,4,1,5,0.06473752,0.1,4.0199504,0.029944371,0.2537409,-0.14842598
1,5,1,5,0.05813659,0.1,4.0199504,0.028328856,0.24048291,-0.14269978
1,6,1,5,0.057968955,0.1,4.0199504,0.027609535,0.24018438,-0.13776354
1,7,1,5,0.05717605,0.1,4.0199504,0.028068487,0.23845948,-0.14089334
1,8,1,5,0.05775046,0.1,4.070716,0.02785605,0.23969036,-0.13975775
1,9,1,5,0.04892114,0.1,4.070716,0.025157774,0.22065315,-0.12594652
1,10,1,5,0.050022423,0.1,4.070716,0.025547747,0.22308367,-0.12981872
1,11,1,5,0.0477365,0.1,4.070716,0.024844991,0.21820459,-0.12376022
1,12,1,5,0.050963767,0.1,4.140672,0.02581692,0.22499187,-0.1313533
1,13,1,5,0.043101627,0.1,4.140672,0.02250756,0.20745318,-0.112777784
1,14,1,5,0.044451874,0.1,4.140672,0.023517296,0.21017838,-0.12177626
1,15,1,5,0.044941265,0.1,4.140672,0.022203406,0.2114608,-0.10925865
1,16,1,5,0.044016004,0.1,4.2242103,0.023404304,0.20896734,-0.12148857
1,17,1,5,0.03710073,0.1,4.2242103,0.020466603,0.19233193,-0.1036038
1,18,1,5,0.03771445,0.1,4.2242103,0.021497093,0.19363861,-0.11458283
1,19,1,5,0.03876306,0.1,4.2242103,0.020644024,0.19638564,-0.10402952
1,20,1,5,0.037896357,0.1,4.3142314,0.021618163,0.19387989,-0.11415915
1,21,1,5,0.034263164,0.1,4.3142314,0.018919399,0.1846549,-0.096407235
1,22,1,5,0.032988068,0.1,4.3142314,0.01948195,0.1810922,-0.10373021
1,23,1,5,0.03373168,0.1,4.3142314,0.01893079,0.18345109,-0.09695794
1,24,1,5,0.032602314,0.1,4.4063544,0.019145405,0.18009709,-0.10057138
1,25,1,5,0.030340172,0.1,4.4063544,0.017087985,0.17399545,-0.08779435
1,26,1,5,0.028537152,0.1,4.4063544,0.01704948,0.16847223,-0.08787556
1,27,1,5,0.030719316,0.1,4.4063544,0.017199486,0.17518725,-0.08833376
1,28,1,5,0.028866477,0.1,4.497606,0.017163783,0.16971684,-0.086710766
1,29,1,5,0.027391667,0.1,4.497606,0.015658204,0.16543707,-0.08078934
1,30,1,5,0.027101662,0.1,4.497606,0.015402904,0.16431849,-0.07446724
1,31,1,5,0.027107036,0.1,4.497606,0.015704487,0.164769,-0.0806056
1,32,1,5,0.027503124,0.1,4.5871935,0.015279114,0.16590114,-0.07232206
1,33,1,5,0.023272509,0.1,4.5871935,0.013963661,0.15266632,-0.07044822
1,34,1,5,0.025695387,0.1,4.5871935,0.013603656,0.16036765,-0.06111319
1,35,1,5,0.023398638,0.1,4.5871935,0.013887962,0.15289524,-0.07064509
1,36,1,5,0.026263028,0.1,4.6750593,0.013655478,0.16226508,-0.062346164
1,37,1,5,0.019938784,0.1,4.6750593,0.012496243,0.14149211,-0.06126532
1,38,1,5,0.021436267,0.1,4.6750593,0.0122662,0.14682578,-0.052476797
1,39,1,5,0.020367008,0.1,4.6750593,0.012737537,0.14280367,-0.0621198
1,40,1,5,0.0225554,0.1,4.7624307,0.012421434,0.15056175,-0.05482429
1,41,1,5,0.01803712,0.1,4.7624307,0.011204949,0.13464372,-0.050129183
1,42,1,5,0.01991786,0.1,4.7624307,0.010864485,0.14168826,-0.04488226
1,43,1,5,0.01777422,0.1,4.7624307,0.0110595105,0.13377528,-0.048392374
1,44,1,5,0.020846995,0.1,4.8493266,0.010886206,0.1450232,-0.044987362
1,45,1,5,0.016809976,0.1,4.8493266,0.009482659,0.13038544,-0.03576843
1,46,1,5,0.018060802,0.1,4.8493266,0.009461113,0.13549708,-0.035850406
1,47,1,5,0.01666447,0.1,4.8493266,0.009424177,0.12982294,-0.03316955
1,48,1,5,0.017918633,0.1,4.93505,0.009454609,0.13469502,-0.036378663
1,49,1,5,0.016982278,0.1,4.93505,0.008056618,0.13110803,-0.020820536
1,50,1,5,0.015335923,0.1,4.93505,0.008174851,0.12492126,-0.02755448
1,51,1,5,0.016985068,0.1,4.93505,0.008074195,0.13170178,-0.019784272
1,52,1,5,0.0147802085,0.1,5.0185323,0.00808536,0.122861125,-0.027398394
1,53,1,5,0.015594872,0.1,5.0185323,0.0069439216,0.12657902,-0.011194562
1,54,1,5,0.0138230035,0.1,5.0185323,0.0069582835,0.11883789,-0.019611778
1,55,1,5,0.01586102,0.1,5.0185323,0.0068551637,0.12739374,-0.009727042
1,56,1,5,0.013484782,0.1,5.0991383,0.0068250326,0.117598474,-0.01837556
1,57,1,5,0.015470311,0.1,5.0991383,0.0059422697,0.12649363,-0.0022808567
1,58,1,5,0.012081731,0.1,5.0991383,0.005859909,0.11192878,-0.009598433
1,59,1,5,0.014250776,0.1,5.0991383,0.005851111,0.121270284,-0.0027773213
1,60,1,5,0.012241693,0.1,5.1756716,0.005724162,0.11251492,-0.0070394496
1,61,1,5,0.0132315075,0.1,5.1756716,0.0050016083,0.11735657,0.004006711
1,62,1,5,0.012435896,0.1,5.1756716,0.0049626157,0.113403514,0.0013449866
1,63,1,5,0.01366089,0.1,5.1756716,0.0049091633,0.11887472,0.0036087506
1,64,1,5,0.012633444,0.1,5.246597,0.0050989273,0.11435547,0.0045842878
1,65,1,5,0.012248286,0.1,5.246597,0.004329097,0.113035806,0.007872926
1,66,1,5,0.012432029,0.1,5.246597,0.00450996,0.11363618,0.010211932
1,67,1,5,0.0119457,0.1,5.246597,0.004394588,0.11155498,0.00659615
1,68,1,5,0.013594065,0.1,5.3111315,0.004638633,0.11866906,0.012208586
1,69,1,5,0.0114154,0.1,5.3111315,0.0039503113,0.10931874,0.008518407
1,70,1,5,0.01383867,0.1,5.3111315,0.0041811173,0.12028658,0.01695978
1,71,1,5,0.011216776,0.1,5.3111315,0.0042019854,0.108421244,0.007401766
1,72,1,5,0.014254105,0.1,5.369034,0.004250697,0.12212878,0.016703252
1,73,1,5,0.01114375,0.1,5.369034,0.003977588,0.10830829,0.010347928
1,74,1,5,0.014305344,0.1,5.369034,0.00394765,0.12243787,0.0192445
1,75,1,5,0.010454638,0.1,5.369034,0.003950202,0.10541929,0.011506311
1,76,1,5,0.013019825,0.1,5.4198384,0.004002602,0.11702369,0.019072663
1,77,1,5,0.01036357,0.1,5.4198384,0.0038256545,0.10532304,0.014728726
1,78,1,5,0.013087408,0.1,5.4198384,0.003932501,0.11765741,0.020438986
1,79,1,5,0.010939601,0.1,5.4198384,0.0039091962,0.10796766,0.017232865
1,80,1,5,0.012972181,0.1,5.4626575,0.004035306,0.117091335,0.020823572
2,1,1,7,0.02280966,0.07,5.4626575,0.009214785,0.15411803,0.007865895
2,2,1,7,0.023394266,0.07,5.4626575,0.0082455855,0.15649812,0.019349389
2,3,1,7,0.021718217,0.07,5.4626575,0.0075926445,0.15088038,0.013812656
2,4,1,7,0.024293277,0.07,5.490504,0.008430186,0.15930659,0.015088746
2,5,1,7,0.022804702,0.07,5.490504,0.007877915,0.1545907,0.02382421
2,6,1,7,0.020542802,0.07,5.490504,0.008296732,0.14695717,0.010812418
2,7,1,7,0.026079977,0.07,5.490504,0.0076958467,0.16494967,0.02588579
2,8,1,7,0.021516595,0.07,5.513592,0.00773923,0.14970838,0.01624064
2,9,1,7,0.023601875,0.07,5.513592,0.007316968,0.15753487,0.02445994
2,10,1,7,0.020518642,0.07,5.513592,0.007340149,0.14700831,0.02582117
2,11,1,7,0.019685028,0.07,5.513592,0.0073442985,0.14423607,0.020187672
2,12,1,7,0.022323214,0.07,5.530292,0.0075345933,0.15347709,0.029939052
2,13,1,7,0.019607674,0.07,5.530292,0.006755335,0.14385933,0.01757966
2,14,1,7,0.025930883,0.07,5.530292,0.007177718,0.16517027,0.028760895
2,15,1,7,0.02137963,0.07,5.530292,0.0068294867,0.14984772,0.023297304
2,16,1,7,0.021964984,0.07,5.541015,0.0069451835,0.15247594,0.023397312
2,17,1,7,0.020482266,0.07,5.541015,0.0071355766,0.14755404,0.028956784
2,18,1,7,0.018204814,0.07,5.541015,0.0069864276,0.13928868,0.01900825
2,19,1,7,0.024182424,0.07,5.541015,0.007452514,0.16033092,0.031561047
2,20,1,7,0.018458858,0.07,5.544694,0.006853009,0.14042544,0.022553856
2,21,1,7,0.01997184,0.07,5.544694,0.0073503857,0.14628373,0.02825435
2,22,1,7,0.019746162,0.07,5.544694,0.0072413567,0.1453047,0.029281052
2,23,1,7,0.018776124,0.07,5.544694,0.006800916,0.14193091,0.023315284
2,24,1,7,0.024294458,0.07,5.5400367,0.008054186,0.16066061,0.034377817
2,25,1,7,0.018559188,0.07,5.5400367,0.0065899678,0.14144973,0.01924166
2,26,1,7,0.023802403,0.07,5.5400367,0.007527205,0.15953691,0.029924147
2,27,1,7,0.018643571,0.07,5.5400367,0.006810998,0.14232361,0.024151439
2,28,1,7,0.020816134,0.07,5.5281343,0.007022548,0.15021496,0.025532356
2,29,1,7,0.019615412,0.07,5.5281343,0.007586404,0.14590952,0.029113209
2,30,1,7,0.017438093,0.07,5.5281343,0.006744111,0.13797863,0.019524343
2,31,1,7,0.022714762,0.07,5.5281343,0.007970445,0.15613668,0.03064487
2,32,1,7,0.01840682,0.07,5.5088,0.0064571183,0.14150669,0.019399196
2,33,1,7,0.020940345,0.07,5.5088,0.0069370694,0.15073897,0.022958634
2,34,1,7,0.018364554,0.07,5.5088,0.0067308974,0.14104408,0.021974657
2,35,1,7,0.017564718,0.07,5.5088,0.006273123,0.1383392,0.017683303
2,36,1,7,0.021151023,0.07,5.482899,0.007298123,0.15083174,0.025458919
2,37,1,7,0.017327262,0.07,5.482899,0.005711965,0.13726829,0.011911089
2,38,1,7,0.022297412,0.07,5.482899,0.007142763,0.15428478,0.023970043
2,39,1,7,0.018398816,0.07,5.482899,0.0063132048,0.14070408,0.017975554
2,40,1,7,0.019184113,0.07,5.4517884,0.0067090513,0.14377418,0.020434827
2,41,1,7,0.019112395,0.07,5.4517884,0.0070297527,0.1433963,0.021932896
2,42,1,7,0.017167253,0.07,5.4517884,0.00589405,0.13624822,0.012843197
2,43,1,7,0.021829013,0.07,5.4517884,0.0072850576,0.15280573,0.023658829
2,44,1,7,0.01724479,0.07,5.4157524,0.0059001218,0.13700035,0.013339002
2,45,1,7,0.019649686,0.07,5.4157524,0.0061820922,0.14578514,0.016750854
2,46,1,7,0.018997716,0.07,5.4157524,0.006403882,0.14275153,0.016958913
2,47,1,7,0.017271338,0.07,5.4157524,0.005918731,0.13677758,0.011961731
2,48,1,7,0.02200362,0.07,5.3755083,0.0068107196,0.15340257,0.019183055
