ic,traj,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd
1,1,5,0.37608728,0.1,0.0,6.798781,0.10938092,-0.019691195,19.865934,-7.290308,25.684809,13.046944
1,2,5,0.4019873,0.1,0.0,7.1847873,0.126843,-0.012137203,20.555107,-7.7611,26.230812,13.564498
1,3,5,0.3695051,0.1,0.0,6.6259055,0.10585385,-0.01834145,19.624126,-7.1152115,26.071701,13.424063
1,4,5,0.40016672,0.1,0.0,6.823939,0.12697934,-0.012297014,20.54301,-7.278542,26.684399,13.740185
1,5,5,4.50891,0.1,0.4551085,54.65548,0.8106234,-0.10175172,73.91015,71.96029,51.827736,-46.90831
1,6,5,4.527596,0.1,0.4551085,54.733356,0.81130224,-0.092959285,74.11742,72.0852,51.519554,-46.566658
1,7,5,4.5356503,0.1,0.4551085,54.831608,0.80803615,-0.09494965,74.11152,72.15389,51.6931,-46.842407
1,8,5,4.5528884,0.1,0.4551085,54.89719,0.8125476,-0.09734128,74.150024,72.181274,51.51953,-46.4956
1,9,5,4.293845,0.1,0.4589522,50.7515,1.0235136,-0.3923358,68.52422,66.31932,71.813675,-68.31351
1,10,5,4.373069,0.1,0.4589522,51.261395,1.0293403,-0.39698616,69.25227,67.054794,71.76935,-68.28406
1,11,5,4.335703,0.1,0.4589522,50.967133,1.0131292,-0.38315308,68.9235,66.61749,71.81336,-68.331154
1,12,5,4.4125166,0.1,0.4589522,51.51408,1.0293423,-0.39794832,69.58908,67.38738,71.746086,-68.32378
1,13,5,1.7428461,0.1,0.3707746,26.285658,0.96067137,-0.46657524,38.912636,34.19187,66.66203,-62.938583
1,14,5,1.7795918,0.1,0.3707746,27.096197,0.9849279,-0.48537037,39.379036,35.192234,66.78119,-63.029396
1,15,5,1.7622068,0.1,0.3707746,26.556522,0.96140796,-0.4653314,39.328987,34.60942,66.782524,-62.96514
1,16,5,1.7951915,0.1,0.3707746,27.239986,0.98370063,-0.48612705,39.812965,35.527542,66.972855,-63.110252
1,17,5,0.62384576,0.1,0.2555985,10.278535,0.5993538,-0.27045166,22.526619,-10.941978,42.308434,-35.849064
1,18,5,0.5851513,0.1,0.2555985,9.725842,0.6190871,-0.29103112,21.343197,-10.229775,42.48348,-36.317204
1,19,5,0.62188566,0.1,0.2555985,10.344651,0.6020311,-0.27101454,22.383575,-11.106588,42.224773,-35.909527
